区站号,Y,X,降雨量,降雨量20-26,总降雨量
53953,35.96666667,110.85,35.8,10.0,45.8
53954,35.61666667,110.9666667,8.5,3.6,12.1
53956,35.4,110.8333333,100.2,89.89999999999999,190.1
53957,35.61666667,110.7166667,27.9,1.4,29.299999999999997
53958,35.16666667,110.7833333,51.7,5.8,57.5
53959,35.05,111.05,70.1,21.2,91.3
53961,35.65,111.4833333,17.2,11.4,28.6
53962,35.73333333,111.7,53.4,40.3,93.69999999999999
53963,35.65,111.3666667,4.8,1.6,6.4
53964,35.61666667,111.2166667,5.4,1.0,6.4
53965,35.51666667,111.5666667,57.5,43.1,100.6
53966,35.98333333,111.8333333,13.8,7.5,21.3
53967,35.33333333,111.2,10.2,3.5,13.7
53968,35.28333333,111.6666667,106.3,36.4,142.7
53970,35.7,112.2,135.8,79.6,215.4
53972,35.05,112.9,465.5,284.7,750.2
53973,35.76666667,112.95,208.4,102.3,310.7
53974,35.61666667,114.2333333,877.6,651.1,1528.7
53975,35.48333333,112.4,268.5,147.5,416.0
53976,35.5,112.8666667,303.6,125.2,428.8
53978,35.08333333,112.6333333,412.3,220.2,632.5
53979,35.15,113.0833333,521.8,352.2,874.0
53980,36.55,114.8,131.1,109.5,240.6
53981,35.78333333,113.2666667,249.6,107.5,357.1
53982,35.23333333,113.2666667,657.4,402.3,1059.7
53983,35.03333333,114.4166667,549.7,301.2,850.9000000000001
53984,35.23333333,113.4666667,699.7,460.7,1160.4
53985,35.5,113.8166667,854.0,650.6999999999999,1504.6999999999998
53986,35.31666667,113.8833333,650.9,408.9,1059.8
53987,35.1,113.35,558.3,322.3,880.5999999999999
53988,35.26666667,113.6666667,739.3,537.0,1276.3
53989,35.08333333,113.9833333,608.8,416.9,1025.6999999999998
53991,35.91666667,114.3333333,637.0,520.6,1157.6
53992,35.65,114.5166667,365.3,273.4,638.7
53993,35.93333333,114.9166667,209.4,123.1,332.5
53994,35.38333333,114.0666667,901.1,616.9,1518.0
53995,35.55,114.5,430.6,294.6,725.2
53996,36.45,114.65,164.9,120.8,285.7
53997,35.15,114.1833333,602.0,369.8,971.8
53998,35.2,114.65,381.2,237.2,618.4
54012,44.58333333,117.6,82.5,78.3,160.8
54024,44.45,119.3,45.7,41.6,87.30000000000001
